Time                 Temp C   Temp F 
2016-04-06 20:50:29  23.687  74.6366
2016-04-06 20:30:04  23.75  74.75
2016-04-06 20:40:04  23.687  74.6366
2016-04-06 20:50:04  23.687  74.6366
2016-04-14 16:10:04  23.5  74.3
2016-04-14 16:40:04  27  80.6
2016-04-14 16:40:04  27  80.6
2016-04-14 16:50:05  30.75  87.35
2016-04-14 17:00:04  32.812  91.0616
2016-04-14 17:10:04  33.75  92.75
2016-04-14 17:20:04  35  95
2016-04-14 17:30:04  32.062  89.7116
2016-04-14 17:40:04  35.687  96.2366
2016-04-14 17:50:05  33.875  92.975
2016-04-14 18:00:04  31.062  87.9116
2016-04-14 18:10:04  31.437  88.5866
2016-04-14 18:20:05  31.437  88.5866
2016-04-14 18:30:04  32.5  90.5
2016-04-14 18:40:04  30  86
2016-04-14 18:50:04  24.562  76.2116
2016-04-14 19:00:04  23.687  74.6366
2016-04-14 19:10:04  21.875  71.375
2016-04-14 19:20:05  20.062  68.1116
2016-04-14 19:30:04  16.187  61.1366
2016-04-14 19:40:04  14.875  58.775
2016-04-14 19:50:04  14.187  57.5366
2016-04-14 20:00:04  13.625  56.525
2016-04-14 20:10:04  13.312  55.9616
2016-04-14 20:20:05  13.062  55.5116
2016-04-14 20:30:04  12.875  55.175
2016-04-14 20:30:04  12.875  55.175
2016-04-14 20:40:04  12.75  54.95
2016-04-14 20:50:04  12.562  54.6116
2016-04-14 21:00:04  12.437  54.3866
2016-04-14 21:10:04  12.187  53.9366
2016-04-14 21:20:04  12.062  53.7116
2016-04-14 21:30:04  11.875  53.375
2016-04-14 21:40:04  11.687  53.0366
2016-04-14 21:50:04  11.25  52.25
2016-04-14 22:00:04  10.875  51.575
2016-04-14 22:10:04  10.687  51.2366
2016-04-14 22:20:04  10.687  51.2366
2016-04-14 22:30:04  10.75  51.35
2016-04-14 22:40:04  10.75  51.35
2016-04-14 22:50:04  10.687  51.2366
2016-04-14 23:00:04  10.562  51.0116
2016-04-14 23:10:04  10.187  50.3366
2016-04-14 23:20:04  9.937  49.8866
2016-04-14 23:30:04  9.812  49.6616
2016-04-14 23:40:04  9.562  49.2116
2016-04-14 23:50:04  9.437  48.9866
2016-04-15 00:00:04  9.25  48.65
2016-04-15 00:10:04  9.125  48.425
2016-04-15 00:20:05  9  48.2
2016-04-15 00:30:04  9.062  48.3116
2016-04-15 00:40:04  8.875  47.975
2016-04-15 00:50:04  8.75  47.75
2016-04-15 01:00:04  8.562  47.4116
2016-04-15 01:10:05  8.625  47.525
2016-04-15 01:20:04  8.625  47.525
2016-04-15 01:30:04  7.812  46.0616
2016-04-15 01:40:04  6.687  44.0366
2016-04-15 01:50:04  6.312  43.3616
2016-04-15 02:00:04  6.375  43.475
2016-04-15 02:10:04  6.625  43.925
2016-04-15 02:20:04  6.5  43.7
2016-04-15 02:30:04  6.812  44.2616
2016-04-15 02:40:04  6.937  44.4866
2016-04-15 02:50:03  6.812  44.2616
2016-04-15 03:00:04  6.687  44.0366
2016-04-15 03:10:04  6.437  43.5866
2016-04-15 03:20:04  7  44.6
2016-04-15 03:30:04  7.5  45.5
2016-04-15 03:40:04  7.625  45.725
2016-04-15 03:50:04  7.75  45.95
2016-04-15 04:00:04  7.375  45.275
2016-04-15 04:10:04  7.125  44.825
2016-04-15 04:20:04  7  44.6
2016-04-15 04:30:04  7  44.6
2016-04-15 04:40:04  7.125  44.825
2016-04-15 04:50:04  6.875  44.375
2016-04-15 05:00:04  6.75  44.15
2016-04-15 05:10:04  6.625  43.925
2016-04-15 05:20:04  6.5  43.7
2016-04-15 05:30:04  6.437  43.5866
2016-04-15 05:40:04  6.187  43.1366
2016-04-15 05:50:04  6  42.8
2016-04-15 06:00:03  5.937  42.6866
2016-04-15 06:10:04  6.062  42.9116
2016-04-15 06:20:04  6.125  43.025
2016-04-15 06:30:04  6.312  43.3616
2016-04-15 06:40:04  6.312  43.3616
2016-04-15 06:50:03  6.125  43.025
2016-04-15 07:00:04  6.25  43.25
2016-04-15 07:10:04  6  42.8
2016-04-15 07:20:04  5.875  42.575
2016-04-15 07:30:05  5.875  42.575
2016-04-15 07:40:04  6.437  43.5866
2016-04-15 07:50:04  6.562  43.8116
2016-04-15 08:00:04  6.625  43.925
